source,destination,hamming_distance_ups,hamming_distance_downs,hamming_distance_LR,hamming_distance_total,fitts_ratio,normalized_fitts_ratio
3,7,1,1,3,5,0.6527317745546902,0.4464314570317762
3,8,1,0,1,2,5.718181818181818,3.9109115569026613
3,9,1,0,2,3,9.72223214285208,6.6494545391109385
3,10,1,0,3,4,9.080255306288139,6.210378848758012
3,11,1,0,5,6,0.12334887775192595,0.0843636258639235
3,12,1,0,6,7,0.0016047732464296277,0.001097573745506648
3,13,1,0,4,5,0.004851304612982641,0.0033180167892950564
3,14,1,2,23,26,0.26407179781092294,0.1806101097777236
3,15,1,1,5,7,0.4904160829777998,0.3354167439220498
3,16,1,2,1,4,0.37006005518624197,0.25310005742980946
3,17,0,1,1,2,0.5029664070408383,0.34400045269201984
3,18,1,0,3,4,0.42235366941514224,0.28886591915699816
3,19,1,1,4,6,0.0045535923786306455,0.003114398531782435
3,20,1,1,23,25,0.010263787025407159,0.007019847317134767
3,21,1,1,24,26,0.669123757132934,0.4576426420105332
3,22,1,2,27,30,1.2286403819027099,0.840320231438262
3,23,1,2,28,31,2.1105848505536544,1.4435201513894054
3,24,1,2,25,28,1.2315252629984677,0.8422933262394476
3,25,1,2,26,29,1.0018070897768063,0.6851791443107547
3,26,1,3,23,27,0.9805830968747846,0.6706631387405559
3,27,1,2,31,34,1.268125958326126,0.8673261228344196
3,28,1,2,30,33,1.1503872574111247,0.7867995392551663
3,29,1,1,6,8,0.42901794354793693,0.29342390411673513
3,30,1,2,24,27,3.2923780132065112,2.2517995458975713
3,31,1,2,12,15,0.2393480866608419,0.16370049571842116
3,32,1,1,7,9,0.9597777624522296,0.6564334717894852
3,33,1,1,8,10,0.9525754563287886,0.651507503509681
3,34,1,3,10,14,0.27500789130091846,0.1880897765279828
3,35,1,0,7,8,0.5629286438338613,0.385011216656523
3,36,1,1,5,7,0.4552398902712136,0.31135822620465303
3,37,1,2,6,9,0.3770538621793858,0.2578834241477516
3,38,1,2,35,38,1.9965712864399403,1.3655413497853377
3,39,1,2,33,36,0.9056620591766549,0.619421404653492
3,40,1,2,13,16,0.737585610521184,0.5044666609271294
3,41,1,0,8,9,1.4824147993257302,1.0138875179470892
3,42,0,0,2,2,0.13097188674138463,0.0895773310071304
3,43,1,2,29,32,0.8192330414983432,0.5603088659414351
3,44,1,1,7,9,0.7992265499980388,0.5466255621729491
3,45,1,1,10,12,1.5078406889898022,1.0312773822245018
3,46,1,1,11,13,0.6761229342525088,0.46242968158991765
3,47,1,1,15,17,2.684867158689226,1.836296629512355
3,48,1,3,24,28,1.0065841700628673,0.6884463958765589
3,49,1,2,32,35,2.4814162605583263,1.6971477717001777
3,50,1,1,13,15,2.1516235167972337,1.4715882680032484
3,51,1,1,6,8,0.9750645455843194,0.6668887631251085
3,52,1,2,34,37,2.1290692802255164,1.456162451324077
3,53,1,2,5,8,0.24756634966082056,0.16932132079293788
3,54,1,3,11,15,0.3242565842277681,0.22177308504355728
3,55,1,2,11,14,0.34873591087983774,0.23851555398785806
3,56,1,1,9,11,1.4528142960124757,0.9936424550619166
3,57,1,0,9,10,3.8744630595735456,2.649912653756198
3,58,1,2,4,7,0.15613341479051945,0.10678638695631341
3,59,1,2,3,6,1.140355621616311,0.7799384701929992
3,60,1,2,10,13,0.14697383164884315,0.10052175237416525
3,61,1,1,12,14,1.3950049427401898,0.9541041411365402
3,62,1,2,11,14,0.9010572302753055,0.6162719632505301
3,63,1,2,4,7,1.3285719619387906,0.9086677558244173
3,64,1,1,22,24,1.8735658311861543,1.281412605402903
3,65,1,1,21,23,1.4838107994368388,1.0148423027268618
3,66,1,1,20,22,1.496003724745206,1.0231815710497614
3,67,1,1,19,21,1.1073874278152172,0.7573900983072128
3,68,1,1,18,20,1.0007097489254253,0.6844286255000583
3,69,1,1,17,19,0.7553915740632908,0.5166449285675865
3,70,1,2,9,12,0.5442447681565863,0.3722325069831706
3,71,1,2,8,11,0.3545174146042096,0.24246977413175536
3,72,1,2,7,10,0.17807321371965085,0.12179196318951956
3,73,1,1,16,18,2.688157509896022,1.8385470428377961
3,74,1,1,14,16,2.544068113351114,1.7399980802317432
3,75,1,0,0,1,0.012922857168060917,0.008838500253012563
